data	mut	pop	len	ind	ploidy	rep	method	rf	time	core	score_reconstructed	score_true
M201	5.00E-08	1.00E+05	5.00E+06	1	1	25	CASTER-pair	1	4025.611	32	7.22809E+14	7.22809E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	26	CASTER-pair	2	3765.004	32	6.81844E+14	6.81843E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	27	CASTER-pair	1	1046.365	32	3.22967E+14	3.22967E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	28	CASTER-pair	0	4673.71	32	6.85598E+14	6.85598E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	29	CASTER-pair	3	4254.751	32	6.83812E+14	6.83812E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	30	CASTER-pair	2	3755.07	32	6.59059E+14	6.59059E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	31	CASTER-pair	0	4059.655	32	6.97169E+14	6.97169E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	32	CASTER-pair	0	4426.454	32	7.17757E+14	7.17757E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	33	CASTER-pair	2	3846.834	32	7.04955E+14	7.04955E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	34	CASTER-pair	1	4187.685	32	7.19985E+14	7.19985E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	35	CASTER-pair	2	5126.733	32	7.53476E+14	7.53476E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	36	CASTER-pair	1	4516.606	32	7.01107E+14	7.01107E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	37	CASTER-pair	2	2989.277	32	5.65428E+14	5.65428E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	38	CASTER-pair	2	4030.933	32	6.98153E+14	6.98153E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	39	CASTER-pair	1	4236.351	32	7.30863E+14	7.30863E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	40	CASTER-pair	1	4185.518	32	7.56961E+14	7.56961E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	41	CASTER-pair	2	4015.978	32	7.24361E+14	7.24361E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	42	CASTER-pair	1	3369.757	32	5.94032E+14	5.94032E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	43	CASTER-pair	3	4019.213	32	6.35467E+14	6.35467E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	44	CASTER-pair	2	2357.304	32	4.62306E+14	4.62306E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	45	CASTER-pair	0	2947.895	32	5.36291E+14	5.36291E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	46	CASTER-pair	0	4494.044	32	7.42052E+14	7.42052E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	47	CASTER-pair	0	3929.006	32	6.72293E+14	6.72293E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	48	CASTER-pair	1	3875.946	32	6.92239E+14	6.92239E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	49	CASTER-pair	0	4312.364	32	7.60085E+14	7.60085E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	50	CASTER-pair	2	1694.744	32	3.93903E+14	3.93903E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	1	RAxML-ng	2	14345.448	64	-98871367.62	-127763839.5
M201	5.00E-08	1.00E+05	5.00E+06	1	1	2	RAxML-ng	2	10441.077	64	-95493953.07	-116387472.5
M201	5.00E-08	1.00E+05	5.00E+06	1	1	3	RAxML-ng	5	16551.56	64	-142014590.7	-162253116.4
