data	mut	pop	len	ind	ploidy	rep	method	rf	time	core
M201	5.00E-08	1.00E+05	5.00E+06	1	1	44	RAxML-ng	3	8516.405	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	45	RAxML-ng	1	8842.182	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	46	RAxML-ng	3	16212.347	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	47	RAxML-ng	1	15055.421	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	48	RAxML-ng	2	17660.293	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	49	RAxML-ng	2	15199.563	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	50	RAxML-ng	2	11923.732	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	1	SVDQuartets	5	19014	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	2	SVDQuartets	3	17464	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	3	SVDQuartets	6	23071	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	4	SVDQuartets	5	12791	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	5	SVDQuartets	2	32914	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	6	SVDQuartets	5	23577	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	7	SVDQuartets	1	37689	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	8	SVDQuartets	2	21236	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	9	SVDQuartets	7	27654	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	10	SVDQuartets	6	24008	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	11	SVDQuartets	3	36139	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	12	SVDQuartets	3	23552	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	13	SVDQuartets	6	16661	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	14	SVDQuartets	5	30347	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	15	SVDQuartets	5	18565	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	16	SVDQuartets	0	16270	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	17	SVDQuartets	2	30357	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	18	SVDQuartets	9	17108	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	19	SVDQuartets	3	18085	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	20	SVDQuartets	5	24164	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	21	SVDQuartets	2	23967	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	22	SVDQuartets	1	17086	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	23	SVDQuartets	4	26278	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	24	SVDQuartets	5	18296	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	25	SVDQuartets	3	19280	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	26	SVDQuartets	2	31916	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	27	SVDQuartets	12	10383	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	28	SVDQuartets	2	21949	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	29	SVDQuartets	5	24197	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	30	SVDQuartets	4	20493	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	31	SVDQuartets	0	27403	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	32	SVDQuartets	1	30601	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	33	SVDQuartets	6	26848	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	34	SVDQuartets	5	19666	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	35	SVDQuartets	2	31038	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	36	SVDQuartets	3	23928	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	37	SVDQuartets	4	20414	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	38	SVDQuartets	2	33523	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	39	SVDQuartets	1	21724	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	40	SVDQuartets	0	23524	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	41	SVDQuartets	2	24388	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	42	SVDQuartets	6	14503	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	43	SVDQuartets	6	16945	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	44	SVDQuartets	6	9806	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	45	SVDQuartets	6	11897	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	46	SVDQuartets	0	20325	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	47	SVDQuartets	5	28731	64
