data	mut	pop	gene	ind	ploidy	rep	method	rf
M201	5.00E-08	1.00E+05	2000	1	1	11	CASTER-pair	3
M201	5.00E-08	1.00E+05	2000	1	1	12	CASTER-pair	3
M201	5.00E-08	1.00E+05	2000	1	1	13	CASTER-pair	5
M201	5.00E-08	1.00E+05	2000	1	1	14	CASTER-pair	4
M201	5.00E-08	1.00E+05	2000	1	1	15	CASTER-pair	7
M201	5.00E-08	1.00E+05	2000	1	1	16	CASTER-pair	1
M201	5.00E-08	1.00E+05	2000	1	1	17	CASTER-pair	2
M201	5.00E-08	1.00E+05	2000	1	1	18	CASTER-pair	6
M201	5.00E-08	1.00E+05	2000	1	1	19	CASTER-pair	2
M201	5.00E-08	1.00E+05	2000	1	1	20	CASTER-pair	1
M201	5.00E-08	1.00E+05	2000	1	1	21	CASTER-pair	1
M201	5.00E-08	1.00E+05	2000	1	1	22	CASTER-pair	1
M201	5.00E-08	1.00E+05	2000	1	1	23	CASTER-pair	5
M201	5.00E-08	1.00E+05	2000	1	1	24	CASTER-pair	0
M201	5.00E-08	1.00E+05	2000	1	1	25	CASTER-pair	0
M201	5.00E-08	1.00E+05	2000	1	1	26	CASTER-pair	2
M201	5.00E-08	1.00E+05	2000	1	1	27	CASTER-pair	4
M201	5.00E-08	1.00E+05	2000	1	1	28	CASTER-pair	1
M201	5.00E-08	1.00E+05	2000	1	1	29	CASTER-pair	3
M201	5.00E-08	1.00E+05	2000	1	1	30	CASTER-pair	1
M201	5.00E-08	1.00E+05	2000	1	1	31	CASTER-pair	2
M201	5.00E-08	1.00E+05	2000	1	1	32	CASTER-pair	1
M201	5.00E-08	1.00E+05	2000	1	1	33	CASTER-pair	2
M201	5.00E-08	1.00E+05	2000	1	1	34	CASTER-pair	2
M201	5.00E-08	1.00E+05	2000	1	1	35	CASTER-pair	1
M201	5.00E-08	1.00E+05	2000	1	1	36	CASTER-pair	2
M201	5.00E-08	1.00E+05	2000	1	1	37	CASTER-pair	4
M201	5.00E-08	1.00E+05	2000	1	1	38	CASTER-pair	1
M201	5.00E-08	1.00E+05	2000	1	1	39	CASTER-pair	2
M201	5.00E-08	1.00E+05	2000	1	1	40	CASTER-pair	1
M201	5.00E-08	1.00E+05	2000	1	1	41	CASTER-pair	4
M201	5.00E-08	1.00E+05	2000	1	1	42	CASTER-pair	1
M201	5.00E-08	1.00E+05	2000	1	1	43	CASTER-pair	3
M201	5.00E-08	1.00E+05	2000	1	1	44	CASTER-pair	1
M201	5.00E-08	1.00E+05	2000	1	1	45	CASTER-pair	3
M201	5.00E-08	1.00E+05	2000	1	1	46	CASTER-pair	4
M201	5.00E-08	1.00E+05	2000	1	1	47	CASTER-pair	0
M201	5.00E-08	1.00E+05	2000	1	1	48	CASTER-pair	2
M201	5.00E-08	1.00E+05	2000	1	1	49	CASTER-pair	2
M201	5.00E-08	1.00E+05	2000	1	1	50	CASTER-pair	2
M201	5.00E-08	1.00E+05	2000	1	1	1	ASTRAL	5
M201	5.00E-08	1.00E+05	2000	1	1	2	ASTRAL	2
M201	5.00E-08	1.00E+05	2000	1	1	3	ASTRAL	5
M201	5.00E-08	1.00E+05	2000	1	1	4	ASTRAL	4
M201	5.00E-08	1.00E+05	2000	1	1	5	ASTRAL	3
M201	5.00E-08	1.00E+05	2000	1	1	6	ASTRAL	6
M201	5.00E-08	1.00E+05	2000	1	1	7	ASTRAL	3
M201	5.00E-08	1.00E+05	2000	1	1	8	ASTRAL	6
M201	5.00E-08	1.00E+05	2000	1	1	9	ASTRAL	6
M201	5.00E-08	1.00E+05	2000	1	1	10	ASTRAL	2
M201	5.00E-08	1.00E+05	2000	1	1	11	ASTRAL	4
M201	5.00E-08	1.00E+05	2000	1	1	12	ASTRAL	1
M201	5.00E-08	1.00E+05	2000	1	1	13	ASTRAL	7
M201	5.00E-08	1.00E+05	2000	1	1	14	ASTRAL	1
M201	5.00E-08	1.00E+05	2000	1	1	15	ASTRAL	5
M201	5.00E-08	1.00E+05	2000	1	1	16	ASTRAL	2
M201	5.00E-08	1.00E+05	2000	1	1	17	ASTRAL	1
M201	5.00E-08	1.00E+05	2000	1	1	18	ASTRAL	6
M201	5.00E-08	1.00E+05	2000	1	1	19	ASTRAL	3
M201	5.00E-08	1.00E+05	2000	1	1	20	ASTRAL	6
M201	5.00E-08	1.00E+05	2000	1	1	21	ASTRAL	2
M201	5.00E-08	1.00E+05	2000	1	1	22	ASTRAL	1
M201	5.00E-08	1.00E+05	2000	1	1	23	ASTRAL	6
M201	5.00E-08	1.00E+05	2000	1	1	24	ASTRAL	2
M201	5.00E-08	1.00E+05	2000	1	1	25	ASTRAL	2
M201	5.00E-08	1.00E+05	2000	1	1	26	ASTRAL	5
M201	5.00E-08	1.00E+05	2000	1	1	27	ASTRAL	9
M201	5.00E-08	1.00E+05	2000	1	1	28	ASTRAL	4
M201	5.00E-08	1.00E+05	2000	1	1	29	ASTRAL	2
M201	5.00E-08	1.00E+05	2000	1	1	30	ASTRAL	3
M201	5.00E-08	1.00E+05	2000	1	1	31	ASTRAL	3
M201	5.00E-08	1.00E+05	2000	1	1	32	ASTRAL	0
M201	5.00E-08	1.00E+05	2000	1	1	33	ASTRAL	6
M201	5.00E-08	1.00E+05	2000	1	1	34	ASTRAL	3
