case	mut	top	len	rep	method	rf
hard	2X	AB|CD	2	70	CASTER-pair	0
hard	2X	AB|CD	2	71	CASTER-pair	0
hard	2X	AB|CD	2	72	CASTER-pair	0
hard	2X	AB|CD	2	73	CASTER-pair	0
hard	2X	AB|CD	2	74	CASTER-pair	1
hard	2X	AB|CD	2	75	CASTER-pair	0
hard	2X	AB|CD	2	76	CASTER-pair	0
hard	2X	AB|CD	2	77	CASTER-pair	0
hard	2X	AB|CD	2	78	CASTER-pair	0
hard	2X	AB|CD	2	79	CASTER-pair	1
hard	2X	AB|CD	2	80	CASTER-pair	0
hard	2X	AB|CD	2	81	CASTER-pair	1
hard	2X	AB|CD	2	82	CASTER-pair	1
hard	2X	AB|CD	2	83	CASTER-pair	1
hard	2X	AB|CD	2	84	CASTER-pair	0
hard	2X	AB|CD	2	85	CASTER-pair	0
hard	2X	AB|CD	2	86	CASTER-pair	0
hard	2X	AB|CD	2	87	CASTER-pair	1
hard	2X	AB|CD	2	88	CASTER-pair	0
hard	2X	AB|CD	2	89	CASTER-pair	1
hard	2X	AB|CD	2	90	CASTER-pair	1
hard	2X	AB|CD	2	91	CASTER-pair	0
hard	2X	AB|CD	2	92	CASTER-pair	0
hard	2X	AB|CD	2	93	CASTER-pair	1
hard	2X	AB|CD	2	94	CASTER-pair	0
hard	2X	AB|CD	2	95	CASTER-pair	0
hard	2X	AB|CD	2	96	CASTER-pair	0
hard	2X	AB|CD	2	97	CASTER-pair	0
hard	2X	AB|CD	2	98	CASTER-pair	0
hard	2X	AB|CD	2	99	CASTER-pair	1
hard	2X	AB|CD	2	100	CASTER-pair	0
hard	2X	AB|CD	5	1	CASTER-pair	0
hard	2X	AB|CD	5	2	CASTER-pair	0
hard	2X	AB|CD	5	3	CASTER-pair	0
hard	2X	AB|CD	5	4	CASTER-pair	0
hard	2X	AB|CD	5	5	CASTER-pair	0
hard	2X	AB|CD	5	6	CASTER-pair	0
hard	2X	AB|CD	5	7	CASTER-pair	0
hard	2X	AB|CD	5	8	CASTER-pair	0
hard	2X	AB|CD	5	9	CASTER-pair	0
hard	2X	AB|CD	5	10	CASTER-pair	0
hard	2X	AB|CD	5	11	CASTER-pair	0
hard	2X	AB|CD	5	12	CASTER-pair	0
hard	2X	AB|CD	5	13	CASTER-pair	1
hard	2X	AB|CD	5	14	CASTER-pair	0
hard	2X	AB|CD	5	15	CASTER-pair	0
hard	2X	AB|CD	5	16	CASTER-pair	0
hard	2X	AB|CD	5	17	CASTER-pair	1
hard	2X	AB|CD	5	18	CASTER-pair	0
hard	2X	AB|CD	5	19	CASTER-pair	0
hard	2X	AB|CD	5	20	CASTER-pair	1
hard	2X	AB|CD	5	21	CASTER-pair	0
hard	2X	AB|CD	5	22	CASTER-pair	0
hard	2X	AB|CD	5	23	CASTER-pair	0
hard	2X	AB|CD	5	24	CASTER-pair	0
hard	2X	AB|CD	5	25	CASTER-pair	0
hard	2X	AB|CD	5	26	CASTER-pair	1
hard	2X	AB|CD	5	27	CASTER-pair	0
hard	2X	AB|CD	5	28	CASTER-pair	1
hard	2X	AB|CD	5	29	CASTER-pair	1
hard	2X	AB|CD	5	30	CASTER-pair	0
hard	2X	AB|CD	5	31	CASTER-pair	0
hard	2X	AB|CD	5	32	CASTER-pair	1
hard	2X	AB|CD	5	33	CASTER-pair	0
hard	2X	AB|CD	5	34	CASTER-pair	0
hard	2X	AB|CD	5	35	CASTER-pair	1
hard	2X	AB|CD	5	36	CASTER-pair	0
hard	2X	AB|CD	5	37	CASTER-pair	0
hard	2X	AB|CD	5	38	CASTER-pair	0
hard	2X	AB|CD	5	39	CASTER-pair	0
hard	2X	AB|CD	5	40	CASTER-pair	0
hard	2X	AB|CD	5	41	CASTER-pair	0
hard	2X	AB|CD	5	42	CASTER-pair	0
hard	2X	AB|CD	5	43	CASTER-pair	0
hard	2X	AB|CD	5	44	CASTER-pair	0
hard	2X	AB|CD	5	45	CASTER-pair	0
hard	2X	AB|CD	5	46	CASTER-pair	0
hard	2X	AB|CD	5	47	CASTER-pair	0
hard	2X	AB|CD	5	48	CASTER-pair	0
hard	2X	AB|CD	5	49	CASTER-pair	0
hard	2X	AB|CD	5	50	CASTER-pair	1
hard	2X	AB|CD	5	51	CASTER-pair	1
hard	2X	AB|CD	5	52	CASTER-pair	0
hard	2X	AB|CD	5	53	CASTER-pair	0
hard	2X	AB|CD	5	54	CASTER-pair	0
hard	2X	AB|CD	5	55	CASTER-pair	0
hard	2X	AB|CD	5	56	CASTER-pair	0
hard	2X	AB|CD	5	57	CASTER-pair	0
hard	2X	AB|CD	5	58	CASTER-pair	0
hard	2X	AB|CD	5	59	CASTER-pair	0
hard	2X	AB|CD	5	60	CASTER-pair	0
hard	2X	AB|CD	5	61	CASTER-pair	0
hard	2X	AB|CD	5	62	CASTER-pair	0
hard	2X	AB|CD	5	63	CASTER-pair	0
hard	2X	AB|CD	5	64	CASTER-pair	0
hard	2X	AB|CD	5	65	CASTER-pair	0
hard	2X	AB|CD	5	66	CASTER-pair	0
hard	2X	AB|CD	5	67	CASTER-pair	0
hard	2X	AB|CD	5	68	CASTER-pair	0
hard	2X	AB|CD	5	69	CASTER-pair	0
hard	2X	AB|CD	5	70	CASTER-pair	0
hard	2X	AB|CD	5	71	CASTER-pair	0
hard	2X	AB|CD	5	72	CASTER-pair	0
hard	2X	AB|CD	5	73	CASTER-pair	0
hard	2X	AB|CD	5	74	CASTER-pair	0
hard	2X	AB|CD	5	75	CASTER-pair	0
hard	2X	AB|CD	5	76	CASTER-pair	0
hard	2X	AB|CD	5	77	CASTER-pair	0
hard	2X	AB|CD	5	78	CASTER-pair	0
hard	2X	AB|CD	5	79	CASTER-pair	0
hard	2X	AB|CD	5	80	CASTER-pair	0
hard	2X	AB|CD	5	81	CASTER-pair	0
hard	2X	AB|CD	5	82	CASTER-pair	0
hard	2X	AB|CD	5	83	CASTER-pair	1
hard	2X	AB|CD	5	84	CASTER-pair	0
hard	2X	AB|CD	5	85	CASTER-pair	0
hard	2X	AB|CD	5	86	CASTER-pair	0
hard	2X	AB|CD	5	87	CASTER-pair	0
hard	2X	AB|CD	5	88	CASTER-pair	1
hard	2X	AB|CD	5	89	CASTER-pair	1
hard	2X	AB|CD	5	90	CASTER-pair	0
hard	2X	AB|CD	5	91	CASTER-pair	0
hard	2X	AB|CD	5	92	CASTER-pair	0
hard	2X	AB|CD	5	93	CASTER-pair	1
hard	2X	AB|CD	5	94	CASTER-pair	0
hard	2X	AB|CD	5	95	CASTER-pair	1
hard	2X	AB|CD	5	96	CASTER-pair	0
hard	2X	AB|CD	5	97	CASTER-pair	0
hard	2X	AB|CD	5	98	CASTER-pair	0
hard	2X	AB|CD	5	99	CASTER-pair	0
hard	2X	AB|CD	5	100	CASTER-pair	0
hard	2X	AB|CD	10	1	CASTER-pair	0
hard	2X	AB|CD	10	2	CASTER-pair	0
hard	2X	AB|CD	10	3	CASTER-pair	0
hard	2X	AB|CD	10	4	CASTER-pair	0
hard	2X	AB|CD	10	5	CASTER-pair	0
hard	2X	AB|CD	10	6	CASTER-pair	0
hard	2X	AB|CD	10	7	CASTER-pair	0
hard	2X	AB|CD	10	8	CASTER-pair	0
hard	2X	AB|CD	10	9	CASTER-pair	0
hard	2X	AB|CD	10	10	CASTER-pair	0
hard	2X	AB|CD	10	11	CASTER-pair	0
hard	2X	AB|CD	10	12	CASTER-pair	0
hard	2X	AB|CD	10	13	CASTER-pair	0
hard	2X	AB|CD	10	14	CASTER-pair	0
hard	2X	AB|CD	10	15	CASTER-pair	0
hard	2X	AB|CD	10	16	CASTER-pair	0
hard	2X	AB|CD	10	17	CASTER-pair	0
hard	2X	AB|CD	10	18	CASTER-pair	0
hard	2X	AB|CD	10	19	CASTER-pair	0
hard	2X	AB|CD	10	20	CASTER-pair	0
hard	2X	AB|CD	10	21	CASTER-pair	0
hard	2X	AB|CD	10	22	CASTER-pair	0
hard	2X	AB|CD	10	23	CASTER-pair	0
hard	2X	AB|CD	10	24	CASTER-pair	0
hard	2X	AB|CD	10	25	CASTER-pair	0
hard	2X	AB|CD	10	26	CASTER-pair	1
hard	2X	AB|CD	10	27	CASTER-pair	0
hard	2X	AB|CD	10	28	CASTER-pair	0
hard	2X	AB|CD	10	29	CASTER-pair	0
hard	2X	AB|CD	10	30	CASTER-pair	0
hard	2X	AB|CD	10	31	CASTER-pair	0
hard	2X	AB|CD	10	32	CASTER-pair	1
hard	2X	AB|CD	10	33	CASTER-pair	0
hard	2X	AB|CD	10	34	CASTER-pair	0
hard	2X	AB|CD	10	35	CASTER-pair	0
hard	2X	AB|CD	10	36	CASTER-pair	0
hard	2X	AB|CD	10	37	CASTER-pair	0
hard	2X	AB|CD	10	38	CASTER-pair	0
hard	2X	AB|CD	10	39	CASTER-pair	0
hard	2X	AB|CD	10	40	CASTER-pair	0
hard	2X	AB|CD	10	41	CASTER-pair	0
hard	2X	AB|CD	10	42	CASTER-pair	0
hard	2X	AB|CD	10	43	CASTER-pair	0
hard	2X	AB|CD	10	44	CASTER-pair	0
hard	2X	AB|CD	10	45	CASTER-pair	0
hard	2X	AB|CD	10	46	CASTER-pair	0
hard	2X	AB|CD	10	47	CASTER-pair	0
hard	2X	AB|CD	10	48	CASTER-pair	0
hard	2X	AB|CD	10	49	CASTER-pair	0
hard	2X	AB|CD	10	50	CASTER-pair	0
hard	2X	AB|CD	10	51	CASTER-pair	1
hard	2X	AB|CD	10	52	CASTER-pair	0
hard	2X	AB|CD	10	53	CASTER-pair	0
hard	2X	AB|CD	10	54	CASTER-pair	0
hard	2X	AB|CD	10	55	CASTER-pair	0
hard	2X	AB|CD	10	56	CASTER-pair	1
hard	2X	AB|CD	10	57	CASTER-pair	0
hard	2X	AB|CD	10	58	CASTER-pair	0
hard	2X	AB|CD	10	59	CASTER-pair	0
hard	2X	AB|CD	10	60	CASTER-pair	0
hard	2X	AB|CD	10	61	CASTER-pair	0
hard	2X	AB|CD	10	62	CASTER-pair	0
hard	2X	AB|CD	10	63	CASTER-pair	0
hard	2X	AB|CD	10	64	CASTER-pair	0
hard	2X	AB|CD	10	65	CASTER-pair	0
hard	2X	AB|CD	10	66	CASTER-pair	0
hard	2X	AB|CD	10	67	CASTER-pair	0
hard	2X	AB|CD	10	68	CASTER-pair	0
hard	2X	AB|CD	10	69	CASTER-pair	0
hard	2X	AB|CD	10	70	CASTER-pair	0
hard	2X	AB|CD	10	71	CASTER-pair	0
hard	2X	AB|CD	10	72	CASTER-pair	0
hard	2X	AB|CD	10	73	CASTER-pair	0
hard	2X	AB|CD	10	74	CASTER-pair	0
hard	2X	AB|CD	10	75	CASTER-pair	0
hard	2X	AB|CD	10	76	CASTER-pair	0
hard	2X	AB|CD	10	77	CASTER-pair	0
hard	2X	AB|CD	10	78	CASTER-pair	0
hard	2X	AB|CD	10	79	CASTER-pair	0
hard	2X	AB|CD	10	80	CASTER-pair	0
hard	2X	AB|CD	10	81	CASTER-pair	0
hard	2X	AB|CD	10	82	CASTER-pair	0
hard	2X	AB|CD	10	83	CASTER-pair	0
hard	2X	AB|CD	10	84	CASTER-pair	0
hard	2X	AB|CD	10	85	CASTER-pair	0
hard	2X	AB|CD	10	86	CASTER-pair	0
hard	2X	AB|CD	10	87	CASTER-pair	0
hard	2X	AB|CD	10	88	CASTER-pair	0
hard	2X	AB|CD	10	89	CASTER-pair	0
hard	2X	AB|CD	10	90	CASTER-pair	0
hard	2X	AB|CD	10	91	CASTER-pair	0
hard	2X	AB|CD	10	92	CASTER-pair	0
hard	2X	AB|CD	10	93	CASTER-pair	0
hard	2X	AB|CD	10	94	CASTER-pair	0
hard	2X	AB|CD	10	95	CASTER-pair	0
hard	2X	AB|CD	10	96	CASTER-pair	0
hard	2X	AB|CD	10	97	CASTER-pair	0
